Flow Rate Influent (m3/d),Date,Total Coliform Influent (MPN/100mL),Total Coliform Effluent (MPN/100mL),Fecal Coliform Influent (MPN/100mL),Fecal Coliform Effluent (MPN/100mL),"BOD Influent 
(ppm)","BOD Pre-chlorination
(ppm)",COD Influent (ppm),"COD Pre-chlorination
(ppm)",TSS Pre-chlorination (ppm),pH Pre-chlorination,"Residual chlorine
(ppm)",Chlorine Dosage (L/d)
,2/16/2015,6.3E+07,24196,,,265,6,332,23,17,6.91,0.010,
,2/26/2015,7.3E+08,2,,,154,4,193,16,2,7.33,5.000,
,3/4/2015,3.3E+07,110000,,,216,3,271,30,8,7.33,0.091,
,3/11/2015,2.9E+07,373,,,161,7,201,10,4,7.39,0.099,
,3/19/2015,2.6E+07,2,,,124,3,157,17,9,6.97,0.480,
,3/25/2015,1.7E+08,2,,,230,11,289,28,7,7.05,0.277,
,3/31/2015,5.4E+06,110,,,52,1,145,39,16,6.90,,
,3/31/2015,1.9E+07,1,,,295,1,370,7,11,7.14,0.204,
884,4/7/2015,2.8E+07,24196,,,130,6,163,18,8,7.20,0.170,
3329,4/16/2015,2.0E+08,2481,,,143,2,180,31,4,7.31,0.149,
781,4/23/2015,4.1E+06,24196,,,34,2,44,15,8,7.14,0.083,
926,4/29/2015,9.1E+07,17329,,,142,7,178,17,8,7.12,0.064,
1450,5/5/2015,1.9E+07,1,,,103,9,130,18,3,7.31,3.703,
1939,5/7/2015,5.4E+06,1600,,,57,8,137,20,15,7.30,,
6004,5/12/2015,3.3E+08,1,,,160,1,200,17,6,7.42,0.472,
9596,5/19/2015,2.0E+08,2481,,,248,10,309,25,7,7.27,0.386,
15176,5/29/2015,3.1E+08,1,,,145,8,269,38,18,7.32,0.431,
14593,6/4/2015,3.5E+07,49,,,63,3,140,20,16,7.80,,
12519,6/5/2015,,24196,,,,4,,36,13,7.13,0.200,
12345,6/10/2015,,74,,,,6,,16,2,6.74,0.006,
14710,6/19/2015,,41,,,,10,,23,10,7.05,0.130,
14667,6/25/2015,,1,,,,26,,34,21,7.02,0.430,
