y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
5.14,5.14,2.8263915,4.545891,2.4626746,2.4853895,2.34638744,2.307439189
0.197,5,0.8561849,2.9506068,0.32135487,2.4548662,2.34638744,2.307439189
5,3.576,3.1169224,3.4107187,3.521175,3.9443479,2.34638744,2.307439189
3.576,5,2.983362,0.7109899,3.1784985,1.4403944,2.34638744,2.307439189
0.29,4.352,1.0276431,3.8289964,0.9488188,4.032519,2.34638744,2.307439189
5,1.88,0.6750805,1.979746,2.4695525,4.495908,2.34638744,2.307439189
4.352,3.276,3.9419985,0.38650316,3.4573822,0.10895657,2.34638744,2.307439189
1.88,0.01,4.3225913,0.22716439,4.342231,0.12337588,2.34638744,2.307439189
3.276,5,0.91025066,4.4466567,0.30386135,3.3118973,2.34638744,2.307439189
1.2128,2.4,0.90915215,4.4673123,1.3918885,5.1327496,2.34638744,2.307439189
0.01,0.244,0.7739251,1.2181034,0.2789016,0.5712852,2.34638744,2.307439189
2.996,0.508,2.5714285,1.1405866,3.4047055,0.4723656,2.34638744,2.307439189
5,1.639,3.309944,1.2129691,2.7368312,1.0813272,2.34638744,2.307439189
2.4,0.277,3.7728493,3.9523897,5.321411,1.7034636,2.34638744,2.307439189
0.244,5,0.791033,0.47283855,0.5395959,1.5900849,2.34638744,2.307439189
0.508,0.44,1.1601987,1.155683,0.480158,1.5891658,2.34638744,2.307439189
1.639,0.48,1.6260295,4.5696826,1.5543079,3.5380263,2.34638744,2.307439189
0.277,2.587,3.2868276,1.4707005,1.7097039,0.13227683,2.34638744,2.307439189
3.9406,5,2.8362143,4.338186,2.9041517,3.199392,2.34638744,2.307439189
5,0.87,0.9905907,3.8289964,2.960052,3.5900016,2.34638744,2.307439189
0.44,0.18,2.6815612,1.1772141,2.5734682,1.4904875,2.34638744,2.307439189
0.48,1.067,2.0070434,1.3128339,2.3234499,0.7924466,2.34638744,2.307439189
2.587,0.006,0.7842356,0.59888154,0.9856932,0.9739272,2.34638744,2.307439189
5,0.324,1.458643,0.5055356,2.4527786,0.43262836,2.34638744,2.307439189
0.87,5,3.5470808,3.1631372,4.2716236,2.7284586,2.34638744,2.307439189
0.18,5,1.0265603,4.010892,1.8963422,5.020769,2.34638744,2.307439189
1.067,4.85,1.4930842,1.442165,0.5922446,4.425551,2.34638744,2.307439189
0.006,0.068,1.6152263,0.8304683,0.3972749,0.51530296,2.34638744,2.307439189
0.324,2.013,0.6297599,1.4707005,-0.028779346,0.6172685,2.34638744,2.307439189
5,4.33,2.9382644,4.4673123,3.437111,4.4171143,2.34638744,2.307439189
2.8978,2.47,3.5620835,1.0202053,4.08178,1.7133262,2.34638744,2.307439189
5,2.165,3.7270885,1.1996931,3.8761806,3.4646924,2.34638744,2.307439189
4.85,5.38,3.7846844,4.265726,4.3640018,3.324116,2.34638744,2.307439189
2.1174,0.304,3.278606,4.2588687,1.7708975,1.3788371,2.34638744,2.307439189
0.068,1.352,0.89376765,0.45727628,1.0766436,0.29699725,2.34638744,2.307439189
2.013,0.696,1.3161193,4.438703,1.6100973,5.0429463,2.34638744,2.307439189
3.6818,5,2.5556736,1.0369837,2.0978365,0.70291185,2.34638744,2.307439189
4.33,0.502,3.3022304,1.0369837,4.4731297,0.8649772,2.34638744,2.307439189
2.47,5,0.77141213,4.4673123,2.0772212,4.4486194,2.34638744,2.307439189
2.165,0.171,2.438182,1.1375054,2.7102091,0.35384414,2.34638744,2.307439189
1.547,4.4,2.8622727,4.545891,3.5399911,4.2882195,2.34638744,2.307439189
5.38,2.468,3.7466404,1.979746,3.0155768,3.6752095,2.34638744,2.307439189
0.304,3.06,4.0881057,3.8391604,1.4382597,2.877871,2.34638744,2.307439189
1.352,2.695,1.092388,0.9705419,0.3100107,0.96406233,2.34638744,2.307439189
0.696,0.74,4.179851,2.0917757,4.9157457,3.8444397,2.34638744,2.307439189
1.426,0.01,3.1065397,1.0077722,2.6996465,3.5405884,2.34638744,2.307439189
5,5,0.7969336,4.2923617,0.64411914,1.989861,2.34638744,2.307439189
0.502,5,1.4014349,3.0125413,1.0006394,3.7300963,2.34638744,2.307439189
5,5,3.67728,3.4107187,5.063413,3.6701794,2.34638744,2.307439189
0.171,0.18,0.66021985,1.253323,1.361662,0.39994752,2.34638744,2.307439189
4.4,1.244,3.5880113,1.4368607,3.9366498,1.4312903,2.34638744,2.307439189
2.468,5,3.2818787,2.8079307,3.3574204,4.0818424,2.34638744,2.307439189
3.06,0.393,2.0824733,0.7783443,3.5117917,1.0948272,2.34638744,2.307439189
2.695,0.11,0.97553223,1.442165,1.2351371,4.5854545,2.34638744,2.307439189
1.9856,1.306,2.9481673,1.3322109,1.5868963,1.029741,2.34638744,2.307439189
0.74,0.057,3.6034315,0.22716439,3.1378639,1.462087,2.34638744,2.307439189
2.2192,5,2.723051,0.7109899,1.9543955,0.9797108,2.34638744,2.307439189
0.01,4.899,1.1798067,1.979746,2.3052917,3.3361742,2.34638744,2.307439189
5,1.694,1.6809814,1.3322109,3.343518,2.7486541,2.34638744,2.307439189
5,5,4.006693,3.5892541,2.86667,3.562982,2.34638744,2.307439189
5,0.442,3.1095808,1.0369837,4.51255,0.89207196,2.34638744,2.307439189
3.7148,5,2.9244237,1.7595049,3.6933157,4.403421,2.34638744,2.307439189
0.18,0.547,1.2382745,0.42292136,0.62191075,0.34660137,2.34638744,2.307439189
1.244,0.091,1.6531658,0.339901,1.0992023,0.17976545,2.34638744,2.307439189
5,1.174,3.6371791,1.1226442,3.6178665,1.3024921,2.34638744,2.307439189
0.393,3.564,0.75096273,1.1996931,0.19599748,1.5910255,2.34638744,2.307439189
