Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.')",280105.8788827209,2106396.2304896694,139542.31142663112,1752819.004883654,2
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.')",280132.305300677,1299879.2537055328,139491.62760081218,1600050.1665377638,2
"('Chlorine.Dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",280164.3003209716,1293031.0234464905,139428.1068055632,1593175.9523794788,2
"('Chlorine.Dosage..L.d.', 'BOD.Influent...ppm.')",280115.1697665886,1539605.093514095,139521.73395253782,1883810.471424478,2
"('Chlorine.Dosage..L.d.', 'BOD.Pre.chlorination..ppm.')",280173.09836563113,723477.2494680157,139408.75771581003,1434262.1714972246,2
"('Chlorine.Dosage..L.d.', 'COD.Influent..ppm.')",280100.7699083756,1529608.1614587763,139560.5891857671,1870677.3896567603,2
"('Chlorine.Dosage..L.d.', 'COD.Pre.chlorination..ppm.')",280197.13430035865,1300009.1372703381,139359.89274262422,1599931.0222158295,2
"('Chlorine.Dosage..L.d.', 'TSS.Pre.chlorination..ppm.')",280078.53698862233,2354573.976167715,139595.17421028932,1926057.3485024716,2
"('Chlorine.Dosage..L.d.', 'pH.Pre.chlorination')",280162.6265171689,1300039.0337094315,139433.62222458178,1599770.895908412,2
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.')",280110.8503903998,2122230.2548773694,139529.5598824061,1215869.870229018,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",280103.25694869424,1292714.3603353207,139534.4719219298,1593454.2596074159,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent...ppm.')",280102.6037212436,1539353.9796043814,139538.89256841058,1884001.54775633,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.')",280055.9534359317,723260.3451696684,139627.10253658527,1434367.154025364,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.')",280049.7445362949,1529534.115113975,139649.50691884576,1870606.390035606,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.')",280119.38949665776,2106632.086366184,139509.44829310125,1752552.2872759365,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.')",280078.3807178736,2354788.0075124307,139586.40205745975,1926346.418263022,3
"('Chlorine.Dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'pH.Pre.chlorination')",280081.4247144088,1876007.5113854874,139579.46957178816,1548031.278274173,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",280085.3355034394,1293280.2493246105,139581.39607214666,1592973.3686580388,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent...ppm.')",280089.45411513944,1539642.2221272169,139573.23204522923,1883772.8997921434,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",280092.9879551071,723480.2437045065,139567.05033727022,1433866.0496160293,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",280131.2631593489,1529689.1113844553,139499.76321705728,1870495.7302937605,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",280123.0803600269,1299891.1072413607,139505.7177082924,1599865.376498812,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",280074.6109240623,2354705.8154851515,139601.5083938779,1926001.660070659,3
"('Chlorine.Dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",280146.84909555136,1299945.0581661703,139464.00230843687,1599623.1041796068,3
