Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)')",1019595.0153542694,1043248.1375752182,509185.88825876755,1416914.4970537652,2
"('Chlorine Dosage (L/d)', 'Total Coliform Influent (MPN/100mL)')",835370.140144924,2067272.2468741983,548953.1368381702,1224089.7974675193,2
"('Chlorine Dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)')",281325.772290683,1299921.1722650747,138682.32745529234,1600034.9867771657,2
"('Chlorine Dosage (L/d)', 'Fecal Coliform Effluent (MPN/100mL)')",281261.90335478197,722175.8148018897,138799.75294937807,1433199.4346234123,2
"('Chlorine Dosage (L/d)', 'BOD Influent \n(ppm)')",1245520.7143829355,1201923.169885657,623519.1847263522,1329022.7414424368,2
"('Chlorine Dosage (L/d)', 'BOD Pre-chlorination\n(ppm)')",281291.0572397634,723551.6655307087,138751.83295613146,1434208.2507297932,2
"('Chlorine Dosage (L/d)', 'COD Influent (ppm)')",280982.33306178066,1876477.4961150736,139372.54374745148,1548588.7015681544,2
"('Chlorine Dosage (L/d)', 'COD Pre-chlorination\n(ppm)')",1235523.2201558575,1435166.9095069065,617434.8796403899,1192868.6765648823,2
"('Chlorine Dosage (L/d)', 'TSS Pre-chlorination (ppm)')",281148.17400863516,1300036.149126795,139036.70244224268,1599950.2957063054,2
"('Chlorine Dosage (L/d)', 'pH Pre-chlorination')",281123.5386995004,1293266.732255594,139095.24179198232,1592995.9388415297,2
"('Chlorine Dosage (L/d)', 'Residual chlorine\n(ppm)')",1410861.7649437005,955500.779406238,705116.5976003936,1318568.809003274,2
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Influent (MPN/100mL)')",280772.6939938651,723987.0866475985,139783.14606001848,1433999.242139987,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Influent (MPN/100mL)')",280750.905438256,1299574.7323978364,139811.9096158995,1600318.5703682902,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Effluent (MPN/100mL)')",280711.7357427146,721675.2120416656,139881.8446688034,1433413.6639432204,3
