y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
10.0,10.0,8020.127,109.77454,2592.6113,101.185555,112328.60966183574,112871.10194174758
920.0,920.0,144.80388,832.9149,432.54956,2773.5676,112328.60966183574,112871.10194174758
10.0,10.0,9.609369,-51.26483,-27.278675,10.770721,112328.60966183574,112871.10194174758
10.0,10.0,12.470513,-5.4732385,-122.58519,-27.959442,112328.60966183574,112871.10194174758
79.0,79.0,37.00742,61.676914,5240.134,16.948925,112328.60966183574,112871.10194174758
10.0,10.0,13.79673,25.326147,255.28087,23.768265,112328.60966183574,112871.10194174758
10.0,10.0,7.1890206,112.16741,-32.569695,18.982693,112328.60966183574,112871.10194174758
10.0,10.0,11.059125,-21.526114,-51.913273,2.3990912,112328.60966183574,112871.10194174758
5475.0,5475.0,4.3806,2525.3384,211.24185,2538.8792,112328.60966183574,112871.10194174758
79.0,79.0,896.08673,96.86981,-0.9241923,14.166254,112328.60966183574,112871.10194174758
24196.0,24196.0,-79.64648,2618.2805,4634.7637,3599.4204,112328.60966183574,112871.10194174758
2.0,2.0,-94.68853,-26.689571,2334.7722,-63.39387,112328.60966183574,112871.10194174758
10.0,10.0,173.13191,15.067644,5255.5435,1499.8086,112328.60966183574,112871.10194174758
10.0,10.0,-4.6511703,12.261654,-51.913273,3.2871876,112328.60966183574,112871.10194174758
1100.0,1100.0,12.439592,1143.2368,23.546978,2642.138,112328.60966183574,112871.10194174758
1106.0,1106.0,23910.48,32.134003,5022.348,962.12366,112328.60966183574,112871.10194174758
1.0,1.0,109.95699,53.600674,62.882168,7014.923,112328.60966183574,112871.10194174758
2.0,2.0,115.159454,392.35602,1627.0459,23.841238,112328.60966183574,112871.10194174758
33.0,33.0,90.91264,-13.508398,192.2275,31.725456,112328.60966183574,112871.10194174758
22030.0,22030.0,32393.533,25280.682,24597.959,20386.213,112328.60966183574,112871.10194174758
20.0,20.0,2490.2744,2672.2822,4315.466,180.58339,112328.60966183574,112871.10194174758
2.0,2.0,-18.559132,-2125.9846,154.00586,-104.65863,112328.60966183574,112871.10194174758
1.0,1.0,-92.74985,3631.3972,11295.626,344.9827,112328.60966183574,112871.10194174758
