Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)')",1.0318925144088364,2.0467364632520977,0.06298535121535499,0.10998817944398402,2
"('Chlorine Dosage (L/d)', 'Total Coliform Influent (MPN/100mL)')",1.2751540769586216,2.2916413213365496,0.04541503066123359,0.13458992632866815,2
"('Chlorine Dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)')",1.2933678742359873,1.6899141340621888,0.04205579886017991,0.184268288650687,2
"('Chlorine Dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)')",1.3350693327104197,1.9575879582174867,0.037286733196369645,0.17194885630231999,2
"('Chlorine Dosage (L/d)', 'Fecal Coliform Effluent (MPN/100mL)')",1.3450931991247823,1.650057565830822,0.06003141438375346,0.1051039011933608,2
"('Chlorine Dosage (L/d)', 'BOD Influent \n(ppm)')",1.1073253311280502,2.2581414366664303,0.06398296161133166,0.10814750676069487,2
"('Chlorine Dosage (L/d)', 'BOD Pre-chlorination\n(ppm)')",1.5001272133615287,2.191908000041988,0.054284711155823374,0.06817111864869856,2
"('Chlorine Dosage (L/d)', 'COD Influent (ppm)')",0.9409650184551872,1.9784778604673565,0.08730939875062044,0.26895975044385395,2
"('Chlorine Dosage (L/d)', 'COD Pre-chlorination\n(ppm)')",1.3791245858808174,2.210671232280211,0.046368147401550014,0.1253357084375325,2
"('Chlorine Dosage (L/d)', 'TSS Pre-chlorination (ppm)')",1.4231069921569783,1.9760266149683254,0.031379754510676004,0.12172865008172917,2
"('Chlorine Dosage (L/d)', 'pH Pre-chlorination')",1.146453856235833,2.224120594928683,0.05952160889734288,0.11591551497255,2
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Influent (MPN/100mL)')",0.793501988764972,2.146555952392214,0.08423583951430512,0.09167017996238994,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Effluent (MPN/100mL)')",0.7585532190156001,1.6756459329154438,0.062148050859964096,0.10213985961605478,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Influent (MPN/100mL)')",0.8256858708530121,2.02468043815914,0.03713759976626184,0.13541617247445709,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Effluent (MPN/100mL)')",0.6533722070427384,1.720764292673873,0.05384673093266379,0.12705499689141306,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Influent \n(ppm)')",0.7942555253510138,2.1781545393734514,0.12164673369959811,0.06324608994265123,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Pre-chlorination\n(ppm)')",0.8281911468548783,2.050124326055593,0.04312553731757391,0.10384030474129752,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Influent (ppm)')",0.7239294164178212,1.9354189205343417,0.0574865890468318,0.056053409267231624,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Pre-chlorination\n(ppm)')",0.8552502849375984,2.051870303786683,0.06593838423390888,0.15705653829234528,3
"('Chlorine Dosage (L/d)', 'Flow Rate Influent (m3/d)', 'TSS Pre-chlorination (ppm)')",0.8156489981388398,1.9552236126080231,0.08772308542288716,0.12060568416928347,3
