y_test_CAS,y_test_CAS_dropped,y_pred_final_CAS,y_pred_final_CAS_dropped,y_pred_oob_imputed_CAS,y_pred_oob_CAS,y_pred_naive_CAS,y_pred_naive_orig_CAS
5.14,5.14,2.0897098,4.545891,2.034672,2.4853895,2.3463874396135265,2.307439189189189
0.197,5.0,1.7502954,2.9506068,0.43215048,2.4548662,2.3463874396135265,2.307439189189189
5.0,3.576,2.0830455,3.4107187,2.606409,3.9443479,2.3463874396135265,2.307439189189189
3.5759999999999996,5.0,2.4024055,0.7109899,2.7164443,1.4403944,2.3463874396135265,2.307439189189189
0.29,4.352,1.9099299,3.8289964,1.504066,4.032519,2.3463874396135265,2.307439189189189
5.0,1.88,1.5369387,1.979746,0.9889778,4.495908,2.3463874396135265,2.307439189189189
4.352,3.276,3.2062335,0.38650316,4.212857,0.10895657,2.3463874396135265,2.307439189189189
1.8799999999999997,0.01,3.3574407,0.22716439,4.72614,0.12337588,2.3463874396135265,2.307439189189189
3.276,5.0,2.0774672,4.4466567,2.1862993,3.3118973,2.3463874396135265,2.307439189189189
1.2128,2.4,2.0212696,4.4673123,1.8761307,5.1327496,2.3463874396135265,2.307439189189189
0.01,0.244,1.5468428,1.2181034,2.0055602,0.5712852,2.3463874396135265,2.307439189189189
2.996,0.508,2.7061682,1.1405866,2.615459,0.4723656,2.3463874396135265,2.307439189189189
5.0,1.639,2.4455693,1.2129691,2.283006,1.0813272,2.3463874396135265,2.307439189189189
2.4,0.277,3.498411,3.9523897,4.918283,1.7034636,2.3463874396135265,2.307439189189189
0.244,5.0,2.6782134,0.47283855,2.969724,1.5900849,2.3463874396135265,2.307439189189189
0.508,0.44,1.5869988,1.155683,2.2106657,1.5891658,2.3463874396135265,2.307439189189189
1.639,0.48,1.7263763,4.5696826,3.5394003,3.5380263,2.3463874396135265,2.307439189189189
0.277,2.587,1.7757527,1.4707005,0.6633411,0.13227683,2.3463874396135265,2.307439189189189
3.9406,5.0,2.426985,4.338186,1.8407732,3.199392,2.3463874396135265,2.307439189189189
5.0,0.87,1.6009,3.8289964,0.67575735,3.5900016,2.3463874396135265,2.307439189189189
0.44000000000000006,0.18,1.8149719,1.1772141,2.4658163,1.4904875,2.3463874396135265,2.307439189189189
0.48,1.067,2.032375,1.3128339,2.2074103,0.7924466,2.3463874396135265,2.307439189189189
2.587,0.006,1.873758,0.59888154,1.8433572,0.9739272,2.3463874396135265,2.307439189189189
5.0,0.324,1.4715174,0.5055356,0.59070873,0.43262836,2.3463874396135265,2.307439189189189
0.8699999999999999,5.0,3.0031328,3.1631372,4.2112126,2.7284586,2.3463874396135265,2.307439189189189
0.18,5.0,2.3865232,4.010892,2.2103379,5.020769,2.3463874396135265,2.307439189189189
1.067,4.85,2.263834,1.442165,0.9015707,4.425551,2.3463874396135265,2.307439189189189
0.006,0.068,2.3450608,0.8304683,2.6914499,0.51530296,2.3463874396135265,2.307439189189189
0.324,2.013,2.109762,1.4707005,1.444986,0.6172685,2.3463874396135265,2.307439189189189
5.0,4.33,1.8798637,4.4673123,0.19008052,4.4171143,2.3463874396135265,2.307439189189189
2.8978,2.47,2.4223228,1.0202053,2.8097074,1.7133262,2.3463874396135265,2.307439189189189
5.0,2.165,2.880622,1.1996931,1.8607628,3.4646924,2.3463874396135265,2.307439189189189
4.85,5.38,3.364603,4.265726,4.152914,3.324116,2.3463874396135265,2.307439189189189
2.1174,0.304,2.6833189,4.2588687,2.306192,1.3788371,2.3463874396135265,2.307439189189189
0.068,1.352,1.5423771,0.45727628,0.48685098,0.29699725,2.3463874396135265,2.307439189189189
2.013,0.696,2.0559142,4.438703,2.029213,5.0429463,2.3463874396135265,2.307439189189189
3.6818,5.0,2.6942096,1.0369837,3.3060164,0.70291185,2.3463874396135265,2.307439189189189
4.33,0.502,2.9648762,1.0369837,4.074469,0.8649772,2.3463874396135265,2.307439189189189
2.47,5.0,2.0547109,4.4673123,2.7893736,4.4486194,2.3463874396135265,2.307439189189189
2.165,0.171,1.9778382,1.1375054,1.63648,0.35384414,2.3463874396135265,2.307439189189189
1.5470000000000002,4.4,1.9908038,4.545891,0.98407686,4.2882195,2.3463874396135265,2.307439189189189
5.38,2.468,2.6912959,1.979746,4.057168,3.6752095,2.3463874396135265,2.307439189189189
0.304,3.06,2.2874198,3.8391604,1.6197492,2.877871,2.3463874396135265,2.307439189189189
1.352,2.695,1.2854011,0.9705419,0.22755736,0.96406233,2.3463874396135265,2.307439189189189
0.696,0.74,3.0295055,2.0917757,4.434538,3.8444397,2.3463874396135265,2.307439189189189
1.426,0.01,2.5571861,1.0077722,3.3962317,3.5405884,2.3463874396135265,2.307439189189189
5.0,5.0,1.3514891,4.2923617,1.4780393,1.989861,2.3463874396135265,2.307439189189189
0.502,5.0,1.4332625,3.0125413,1.3006111,3.7300963,2.3463874396135265,2.307439189189189
5.0,5.0,3.2836163,3.4107187,3.672015,3.6701794,2.3463874396135265,2.307439189189189
0.171,0.18,2.2032905,1.253323,2.4899776,0.39994752,2.3463874396135265,2.307439189189189
4.4,1.244,2.1950974,1.4368607,3.3240736,1.4312903,2.3463874396135265,2.307439189189189
2.468,5.0,3.202667,2.8079307,3.9932973,4.0818424,2.3463874396135265,2.307439189189189
3.06,0.393,2.106178,0.7783443,1.1204586,1.0948272,2.3463874396135265,2.307439189189189
2.695,0.11,2.745733,1.442165,3.6640775,4.5854545,2.3463874396135265,2.307439189189189
1.9856000000000003,1.306,2.7971354,1.3322109,0.5309488,1.029741,2.3463874396135265,2.307439189189189
0.74,0.057,3.0731502,0.22716439,3.6287105,1.462087,2.3463874396135265,2.307439189189189
2.2192,5.0,1.8145113,0.7109899,1.8161323,0.9797108,2.3463874396135265,2.307439189189189
0.01,4.899,3.0600402,1.979746,1.8658991,3.3361742,2.3463874396135265,2.307439189189189
5.0,1.694,2.2062814,1.3322109,2.486982,2.7486541,2.3463874396135265,2.307439189189189
5.0,5.0,2.5199406,3.5892541,3.1012716,3.562982,2.3463874396135265,2.307439189189189
5.0,0.442,2.360575,1.0369837,2.7088156,0.89207196,2.3463874396135265,2.307439189189189
3.7147999999999994,5.0,2.4263742,1.7595049,2.625053,4.403421,2.3463874396135265,2.307439189189189
0.18,0.547,2.4725788,0.42292136,2.232972,0.34660137,2.3463874396135265,2.307439189189189
1.244,0.091,2.405399,0.339901,1.9240512,0.17976545,2.3463874396135265,2.307439189189189
5.0,1.174,2.3852375,1.1226442,1.3299131,1.3024921,2.3463874396135265,2.307439189189189
0.393,3.564,3.0804713,1.1996931,2.1345007,1.5910255,2.3463874396135265,2.307439189189189
0.11000000000000001,5.0,1.573745,3.7235606,1.2020792,3.5922396,2.3463874396135265,2.307439189189189
1.306,0.76,2.2053676,4.4196415,3.8348737,1.3178451,2.3463874396135265,2.307439189189189
0.05700000000000001,2.585,1.3879671,2.5727346,0.4534757,3.50893,2.3463874396135265,2.307439189189189
5.0,5.0,1.8529278,3.906713,0.88850725,4.1598125,2.3463874396135265,2.307439189189189
4.899,0.987,2.5242193,2.9506068,3.284081,0.7197576,2.3463874396135265,2.307439189189189
4.252,5.0,2.6001096,4.4466567,4.4174886,4.519157,2.3463874396135265,2.307439189189189
1.6939999999999997,,1.9234368,,0.5924792,,2.3463874396135265,2.307439189189189
5.0,,2.862801,,1.7563603,,2.3463874396135265,2.307439189189189
0.442,,1.7344435,,1.0992472,,2.3463874396135265,2.307439189189189
5.0,,2.1880891,,2.7790117,,2.3463874396135265,2.307439189189189
2.6681999999999997,,1.7173759,,0.8953759,,2.3463874396135265,2.307439189189189
1.9582000000000002,,2.844065,,1.7240615,,2.3463874396135265,2.307439189189189
0.547,,1.3694177,,0.24784385,,2.3463874396135265,2.307439189189189
3.3226,,2.4805562,,2.0462768,,2.3463874396135265,2.307439189189189
0.091,,1.7326757,,0.65250397,,2.3463874396135265,2.307439189189189
1.174,,1.5013506,,1.6590952,,2.3463874396135265,2.307439189189189
