y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
0.6407999999999999,1.339,0.9163493,1.783462,0.42630982,2.346531,2.082140517241379,2.0811829268292685
5.118,5.0,4.258656,-0.9136944,4.2595286,3.5121486,2.082140517241379,2.0811829268292685
4.793200000000001,1.55,3.6537137,3.328228,3.9461164,2.6255727,2.082140517241379,2.0811829268292685
1.339,2.97,1.6736631,4.902701,0.7019483,3.9859428,2.082140517241379,2.0811829268292685
5.0,2.385,2.009377,1.6626992,1.9396855,1.2789794,2.082140517241379,2.0811829268292685
0.7686,1.015,0.10804239,1.783462,1.4689422,0.90754145,2.082140517241379,2.0811829268292685
1.55,0.256,1.8075739,1.570647,2.0943542,1.0067412,2.082140517241379,2.0811829268292685
0.7258,0.393,1.0294442,0.3167593,0.75773966,0.40009636,2.082140517241379,2.0811829268292685
0.0708,0.303,0.6925999,1.783462,1.868141,2.7813027,2.082140517241379,2.0811829268292685
0.4878,2.37,0.43260098,4.9676833,0.43672696,3.5376966,2.082140517241379,2.0811829268292685
2.1916,2.04,1.8854259,5.4917865,1.2991035,3.6346588,2.082140517241379,2.0811829268292685
2.97,2.47,3.4358814,0.06527434,2.9713614,1.5877451,2.082140517241379,2.0811829268292685
2.385,4.764,3.436414,2.9048781,4.3026633,0.5337428,2.082140517241379,2.0811829268292685
4.6259999999999994,0.01,3.881662,-0.39439577,4.3651934,0.38769126,2.082140517241379,2.0811829268292685
1.015,5.0,1.5693187,1.570647,1.4597461,1.7167903,2.082140517241379,2.0811829268292685
3.6494,3.554,3.1318505,1.783462,3.4909174,0.4870655,2.082140517241379,2.0811829268292685
3.2166000000000006,0.087,3.665873,0.33682275,4.4134836,0.1342946,2.082140517241379,2.0811829268292685
5.08,5.0,4.161746,3.0479445,4.538305,4.1085706,2.082140517241379,2.0811829268292685
0.256,0.497,2.2619174,0.35463753,2.2369509,1.1467979,2.082140517241379,2.0811829268292685
0.393,1.874,0.85299593,1.783462,0.58672994,2.5581355,2.082140517241379,2.0811829268292685
4.168,2.171,3.064753,1.6626992,3.2174728,0.7412648,2.082140517241379,2.0811829268292685
4.6198,0.906,3.2368135,1.783462,3.5897806,0.9320118,2.082140517241379,2.0811829268292685
1.7129999999999999,5.0,1.4840732,5.4917865,0.85899127,3.783914,2.082140517241379,2.0811829268292685
2.3692,0.21,1.6771151,0.13176137,0.57325447,0.42537147,2.082140517241379,2.0811829268292685
1.3674,2.393,2.2433796,1.783462,3.1075354,2.1986148,2.082140517241379,2.0811829268292685
0.303,2.23,1.6530591,5.4917865,0.84280676,5.1284776,2.082140517241379,2.0811829268292685
2.37,0.168,2.7600267,1.783462,1.8971797,0.8842171,2.082140517241379,2.0811829268292685
0.2852,0.176,0.39935952,0.49181396,0.21212113,0.2718578,2.082140517241379,2.0811829268292685
1.3364,0.285,4.0390797,5.391018,1.8534845,2.7363343,2.082140517241379,2.0811829268292685
2.04,2.16,4.3835983,3.783984,4.283064,2.7088041,2.082140517241379,2.0811829268292685
2.47,0.427,1.9857451,4.792014,0.7208504,4.6346684,2.082140517241379,2.0811829268292685
0.30579999999999996,0.951,0.9031866,1.783462,0.99575037,1.2023072,2.082140517241379,2.0811829268292685
4.764,0.269,1.9257612,2.9864707,1.7355164,0.9805463,2.082140517241379,2.0811829268292685
0.01,2.74,1.1188394,0.69105077,0.45340964,1.9057388,2.082140517241379,2.0811829268292685
5.0,2.379,2.6409686,1.570647,1.4460058,0.8371439,2.082140517241379,2.0811829268292685
4.912,3.06,4.3690214,1.783462,4.617846,2.763672,2.082140517241379,2.0811829268292685
3.554,3.976,2.2460256,3.0479445,3.284974,2.8342147,2.082140517241379,2.0811829268292685
0.087,5.0,0.56228024,1.783462,0.444608,2.0299754,2.082140517241379,2.0811829268292685
5.0,5.0,3.009008,4.9883456,4.1316113,4.626886,2.082140517241379,2.0811829268292685
0.497,1.314,0.56197804,1.6626992,0.020925006,1.0832453,2.082140517241379,2.0811829268292685
1.874,0.9,2.476374,3.0479445,2.4139318,3.7546182,2.082140517241379,2.0811829268292685
4.0344,1.18,3.6559427,0.06527434,2.4250886,1.3129094,2.082140517241379,2.0811829268292685
1.7310000000000003,0.367,1.9614075,1.783462,1.6357325,1.5849807,2.082140517241379,2.0811829268292685
2.171,0.29,3.4977381,1.3948628,1.7772737,-0.10826184,2.082140517241379,2.0811829268292685
0.906,2.56,0.85037994,3.6548932,1.1740407,4.3827105,2.082140517241379,2.0811829268292685
3.872,0.361,3.9998636,1.783462,3.1927588,3.2241027,2.082140517241379,2.0811829268292685
5.0,0.572,3.9947438,0.2556991,4.3178873,0.4048215,2.082140517241379,2.0811829268292685
0.21000000000000002,1.568,0.6362644,0.3167593,0.5576925,1.2591457,2.082140517241379,2.0811829268292685
2.4676,0.67,3.3822303,3.328228,3.2407455,2.38635,2.082140517241379,2.0811829268292685
2.393,3.403,2.4790313,4.857248,3.055289,3.4404042,2.082140517241379,2.0811829268292685
2.23,0.84,4.1750464,5.4917865,4.9668074,3.967254,2.082140517241379,2.0811829268292685
1.7213999999999998,5.0,2.2515185,3.6548932,3.094511,3.0266807,2.082140517241379,2.0811829268292685
2.211,0.04,1.6571373,0.3167593,2.1950982,0.24590199,2.082140517241379,2.0811829268292685
0.168,0.807,1.9841328,0.2371178,1.5172266,0.3499078,2.082140517241379,2.0811829268292685
0.176,2.19,0.13566887,5.4917865,0.19868201,2.3224692,2.082140517241379,2.0811829268292685
0.285,0.061,2.5234482,0.3167593,3.104298,0.85275114,2.082140517241379,2.0811829268292685
2.16,4.85,2.3051066,5.147792,1.8342565,5.0427036,2.082140517241379,2.0811829268292685
0.23359999999999997,,0.68083215,,0.5195285,,2.082140517241379,2.0811829268292685
