Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.')",2143586.778676231,9189130.574423544,433621.0707957531,7975227.661476934,2
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.')",2143869.447196151,9090581.950755874,433648.08061835385,8085793.726261997,2
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",2143730.9404478543,10843869.993900677,433658.30555265985,9389269.914415065,2
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.')",2143878.578832672,15157754.409581747,433714.4583905082,10103163.26594344,2
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.')",2143930.5769698927,10784777.83045776,433712.1523368454,9417452.139068728,2
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.')",2143621.6104141427,11556741.539705481,433558.6766143627,6929339.858801355,2
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.')",2143624.440530471,13432407.047061786,433670.0435167497,7056113.84190225,2
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.')",5303822.049055198,12263340.093573164,2815846.6149905203,7073982.014746262,2
"('Chlorine.dosage..L.d.', 'pH.Pre.chlorination')",2143810.0069754017,14962138.247569565,433690.37026923214,9381385.827787615,2
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.')",2143542.937501422,9238290.290838111,433595.6880143099,7920855.954314552,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",2143533.12053953,9165121.671700913,433622.24578225764,8000501.728452168,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.')",2143498.8510323754,9218128.581004407,433623.53017716995,8077438.991746066,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.')",2143598.470086858,9196491.270473968,433635.3524093957,7967733.37088285,3
