Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)')",2155083.0958964527,9188352.123628415,438115.9728880019,8142461.599812139,2
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)')",2155502.784533428,9890903.48885696,436232.8997130598,12057701.76102224,2
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)')",9842160.405898005,10619417.915589642,2548597.2860083315,6799514.620612974,2
"('Chlorine dosage (L/d)', 'Fecal Coliform Effluent (MPN/100mL)')",8753686.655286515,8136027.65982342,3707117.317111562,9170760.670528363,2
"('Chlorine dosage (L/d)', 'BOD Influent (ppm)')",2153403.1350631383,10620349.39708807,437356.874927689,8108693.886933472,2
"('Chlorine dosage (L/d)', 'BOD Pre-chlorination\n(ppm)')",8144722.92388252,8932808.558569375,3406173.2949010385,7746315.322115418,2
"('Chlorine dosage (L/d)', 'COD Influent (ppm)')",2153282.2389543783,12566548.764803529,437281.2687132059,7147629.874352453,2
"('Chlorine dosage (L/d)', 'COD Pre-chlorination\n(ppm)')",5277195.835295097,12986577.027213413,2924968.1366220852,8010275.582999964,2
"('Chlorine dosage (L/d)', 'TSS Pre-chlorination (ppm)')",7828082.202506836,11688591.161166826,3269220.0334580056,9138202.254130866,2
"('Chlorine dosage (L/d)', 'pH Pre-chlorination')",5948734.637536296,15267467.24144974,3469050.4416497187,7816572.346038702,2
"('Chlorine dosage (L/d)', 'Residual chlorine\n(ppm)')",8676636.380051464,8004129.461688919,3674354.9189466424,8083391.693600575,2
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Influent (MPN/100mL)')",2153188.2111664074,9914952.01445079,437442.3470008896,12038636.28273166,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Influent (MPN/100mL)')",2155092.106588449,9188383.464594653,438118.37321258744,8142429.214884746,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Effluent (MPN/100mL)')",2155059.287565434,9188109.505093772,438121.13588063227,8142185.529412909,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Influent (ppm)')",2153081.56234971,9164687.683858495,437429.67328880896,8169951.278107556,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Pre-chlorination\n(ppm)')",2153186.116571617,10503660.786105394,437457.59722315025,8652062.58329318,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Influent (ppm)')",2153143.998344572,9174699.674468813,437403.38429415855,8157892.370296893,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Pre-chlorination\n(ppm)')",2153110.376790365,11339720.523099603,437416.0952406617,6785174.57816126,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'TSS Pre-chlorination (ppm)')",2153115.117936632,8105496.319424118,437377.6614546945,10427556.925440766,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'pH Pre-chlorination')",2153119.5160235846,9221517.19896892,437415.0885678174,8103696.676348641,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Residual chlorine\n(ppm)')",2153103.977636003,7109978.353048593,437430.9857381386,8734234.173415288,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Fecal Coliform Influent (MPN/100mL)')",2155504.019727721,9890832.945329022,436227.56970566104,12057431.463061782,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Fecal Coliform Effluent (MPN/100mL)')",2155449.0838567247,10409630.543005936,436220.39045874117,12595370.399901496,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'BOD Influent (ppm)')",2153492.6296363687,11691124.281154528,437434.61650289805,11800773.792930944,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'BOD Pre-chlorination\n(ppm)')",2153528.0615349123,10455636.311247723,437494.53921517223,8707628.415214611,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'COD Influent (ppm)')",2153492.797678006,12027533.537181497,437429.8272905502,11067073.553663796,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'COD Pre-chlorination\n(ppm)')",2153204.2859288277,14162019.461991584,437465.52058103535,9509386.88509367,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'TSS Pre-chlorination (ppm)')",2153290.168019282,10875033.159678722,437414.90970928175,13133899.751810819,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'pH Pre-chlorination')",2153520.9063080912,21625216.964342397,437437.37823252496,5725424.255802139,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Residual chlorine\n(ppm)')",2153292.701359015,9875127.357562091,437514.9356340314,12070347.469503006,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'Fecal Coliform Effluent (MPN/100mL)')",8753686.613022558,8136023.365143026,3707117.401636484,9170753.311903946,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'BOD Influent (ppm)')",2153396.0969283464,11814270.311136333,437356.1868440178,5560013.613283998,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'BOD Pre-chlorination\n(ppm)')",7737704.2451157095,9921232.348027728,3203528.355745645,7288832.975598093,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'COD Influent (ppm)')",2153274.710641995,12566579.792953473,437294.23881254304,7147666.27210593,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'COD Pre-chlorination\n(ppm)')",5277191.404313844,12986471.19969447,2924969.975167894,8010456.757219618,3
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)', 'TSS Pre-chlorination (ppm)')",7828082.105887945,11688588.053353833,3269219.978595227,9138201.61795716,3
