y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
200.0,200.0,148952.73,111097.26,1100.6067,12185.923,1036336.5,1045242.8826086957
2.0,2.0,-747275.25,38903084.0,2892.1907,-550.6536,1036336.5,1045242.8826086957
2.0,2.0,-747275.25,40038668.0,-1922.0217,622.1718,1036336.5,1045242.8826086957
1.0,1.0,148952.73,-1009713.25,1914.0043,-149.68893,1036336.5,1045242.8826086957
41.0,41.0,-747275.25,39147490.0,37.647636,-409.8849,1036336.5,1045242.8826086957
24196.0,24196.0,148952.73,1134896.4,5926.299,-3826.5098,1036336.5,1045242.8826086957
10.0,10.0,148952.73,-1822137.6,8378.578,-690.77673,1036336.5,1045242.8826086957
241960.0,241960.0,-569579.9,1055669.5,328.5026,12433.671,1036336.5,1045242.8826086957
49.0,49.0,-2979220.5,2632357.0,35680.56,16972.861,1036336.5,1045242.8826086957
18774.4,33.0,148952.73,3627794.8,1668.7097,-575.80554,1036336.5,1045242.8826086957
33.0,10.0,-747275.25,920602.8,2282.193,-914.6832,1036336.5,1045242.8826086957
10.0,10.0,148952.73,1191428.0,70.02447,-1520.0012,1036336.5,1045242.8826086957
10.0,2.0,148952.73,-25207380.0,1732.5847,2104.4263,1036336.5,1045242.8826086957
2.0,1.0,-747275.25,-553006.7,836.99945,79148.01,1036336.5,1045242.8826086957
1.0,2.0,88643864.0,515689.8,161348.86,524.8618,1036336.5,1045242.8826086957
2.0,2.0,148952.73,39679384.0,-357.70892,453.49146,1036336.5,1045242.8826086957
2.0,2.0,-747275.25,-588584.9,1287.2698,2104.4263,1036336.5,1045242.8826086957
2.0,10.0,148952.73,2188556.5,1634.4723,1873.8682,1036336.5,1045242.8826086957
10.0,24196.0,148952.73,89971.6,1742.3842,43422.234,1036336.5,1045242.8826086957
24196.0,2.0,-13189778.0,153291.34,322745.53,1339.8394,1036336.5,1045242.8826086957
2.0,2.0,148952.73,694415.94,2360.2317,38291.918,1036336.5,1045242.8826086957
2.0,471.0,-747275.25,8939.133,109723.08,81863.19,1036336.5,1045242.8826086957
471.0,2.0,148952.73,1229668.8,8313.25,360.4619,1036336.5,1045242.8826086957
2.0,2.0,-747275.25,513716.12,8349.361,157305.14,1036336.5,1045242.8826086957
2.0,1.0,-569579.9,889095.25,7247.1133,1349.7648,1036336.5,1045242.8826086957
1.0,10.0,148952.73,2682232.8,1887.3187,657.2335,1036336.5,1045242.8826086957
10.0,146.0,88651736.0,1720149.4,1959.7177,6829.493,1036336.5,1045242.8826086957
146.0,2.0,8291578.5,2231757.5,1057.0538,82280.25,1036336.5,1045242.8826086957
2.0,10.0,148952.73,-4299674.0,9943.07,-942.91345,1036336.5,1045242.8826086957
10.0,20.0,148952.73,1303038.4,2756.832,1073.0127,1036336.5,1045242.8826086957
20.0,131.0,148952.73,-641558.9,8120.043,-196.41718,1036336.5,1045242.8826086957
131.0,319.0,-569579.9,76995840.0,3095.822,-242.82654,1036336.5,1045242.8826086957
319.0,24196.0,148952.73,-1120640.6,-259.26147,9868.068,1036336.5,1045242.8826086957
24196.0,10.0,148952.73,935622.0,-263.30322,7778.4424,1036336.5,1045242.8826086957
10.0,2.0,-747275.25,680304.5,3631.8315,-67664.625,1036336.5,1045242.8826086957
2.0,1.0,148952.73,1684762.2,2892.1907,5178.434,1036336.5,1045242.8826086957
1.0,155310.0,148952.73,-158720.69,931.3168,150065.19,1036336.5,1045242.8826086957
155310.0,10.0,148952.73,-404111.88,32615.652,-705.5553,1036336.5,1045242.8826086957
