Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.')",3655.4238052293285,7881.692848678303,385.12016600890877,612.3899012637974,2
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.')",4545.376817786595,9221.898284708855,213.52495879016323,864.3352212304854,2
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",4117.880749341591,9216.746825649432,288.3616130771715,1185.073615909123,2
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.')",2817.9832987690884,8429.84699919204,372.07824730791384,677.4150795172219,2
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.')",4013.768185087174,9201.080654207679,336.34763766535434,1158.5709248205294,2
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.')",3734.1165953085483,8691.76248836404,536.2743682579198,1352.1621001236485,2
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.')",3860.637184625992,9509.77664464177,304.72746922416263,1239.4692093728747,2
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.')",4152.901385722387,9190.908731302592,231.15614297263,435.15529665884065,2
"('Chlorine.dosage..L.d.', 'pH.Pre.chlorination')",4154.493094295642,9133.499162302425,270.66626005105144,1416.5728415334074,2
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.')",3544.094452758195,8382.307980897389,409.52445777458473,614.0831364490141,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",3480.1521179231504,8357.200808694704,328.3147511737214,622.3194256897998,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.')",2656.653009503764,8260.00313507398,281.24973508017644,958.5859189956308,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.')",3223.2537493257505,8646.828151073358,169.9773685250247,573.883062523156,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.')",3489.9344017322946,8207.249451513517,476.7748497138689,735.4001572110666,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.')",3059.9549806922582,8416.662296385362,260.4316347059071,823.4391953271742,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.')",3081.377760930929,8618.548088867108,265.6053481010765,710.6135042704664,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'pH.Pre.chlorination')",3314.044997722627,8360.789748017398,315.69706932932456,613.7056908833937,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",3497.6427540887744,8886.524488132936,361.75759678503033,1161.6398152176373,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2523.7725317760196,8578.83300289093,449.7607414396648,810.0114459532293,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",3556.70453927275,9320.918781980636,311.1161943315384,833.4492659056684,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",3409.8659598576733,9222.86965392149,520.620171804883,1795.2444558656803,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",3198.082077093151,8941.58968657827,263.98697559936767,999.7654440142463,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",3721.3068829714553,8969.76545362432,200.74209524702184,495.4529037694896,3
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",3899.690152317324,9055.157981179485,382.17005799530665,1101.4226001145828,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2532.7340941232533,8456.468805912382,269.899862654021,649.8496243464442,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",3193.103154078076,9429.07654056524,165.2555129791192,930.9485977070682,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",3286.1897532569396,8815.795363030735,396.6707739077882,1426.7934565082069,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2965.0364669730584,9652.201636397105,297.621937367483,679.1912968489202,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",3494.524245028623,8823.582557739426,165.37269365454685,700.6781827062101,3
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",3343.508913629571,9338.246685795446,325.6061876331507,1263.9140980773777,3
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.')",2382.604156422897,8652.058869315553,250.52105466132193,724.0680552007304,3
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2255.2102495400973,8627.27233610548,154.6283706134635,592.8361973293628,3
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2600.6186625705536,8887.72352134408,216.961037475866,799.4391559407773,3
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2750.3696035335015,7824.873023861425,159.48751225507252,939.1006451436913,3
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2496.815111193874,8816.766409701111,243.9513113696646,821.2925940459282,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",3195.246913784725,8615.839490723896,246.51786034350752,1016.6320653982352,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",3310.1947267725436,9356.076420870713,213.64036461132048,842.8302021275924,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3481.5843443088916,9059.3517209788,216.66791488580657,895.8947690485438,3
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3145.176729648431,9459.54096110893,271.78559818750784,785.716311098969,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",3165.4537646055737,8577.760878108962,457.07442205305483,1666.4157878604349,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",3219.07097659051,8338.911612343029,360.4068998139003,1019.6839839374236,3
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",3318.360486933883,8684.09606633952,191.48458416662098,1481.3735559849206,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3472.6226625247837,8993.145175972993,304.06957812542464,877.2073504700627,3
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3173.0813440819356,9275.888080272538,261.49070758578654,1048.8242446271424,3
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3360.800340757356,8980.736071525842,383.79458640036387,617.0778126136836,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.')",3005.6426428741024,8524.967461968687,304.7169400898569,595.0079752347899,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2428.437357408143,8474.992222853378,350.6904665604596,958.1122161409021,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",3031.9234880568633,8525.966037143944,460.1382297986013,356.7091667231764,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",3123.1270618794015,8334.675140217241,362.0284680470669,659.5478475186111,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2898.34717203059,8392.60841726702,129.89499411461043,696.5050639241456,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",2925.547623795597,8549.247852594144,151.88032302763025,706.8973173233871,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",3323.793263550262,8656.853450009998,187.07925237353973,504.36118831348574,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2256.743539088219,8338.346951977825,124.00591443694113,883.662043675323,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",2880.287024131917,8850.61505305709,215.28967542039794,472.58345800092553,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2931.5781581151505,8487.778915314755,426.65830734338203,757.6955664950169,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2760.7841164201404,8626.319205534808,202.8831218472135,614.2333743207512,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",3019.5524568078054,8807.305533321061,261.51234579326126,843.3911196523292,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",3179.3044838879864,8723.347255824943,214.0478141740852,558.5812161741875,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.')",2346.268738666932,8498.768081384778,350.7765470051231,852.6228274891206,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2262.7693890005326,8349.450481726326,456.75314995351994,1075.6915731902025,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2461.4159589106334,8190.682574305358,510.8938310781749,1059.9207043461552,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2321.094359576464,8215.48921662078,294.06599532231417,1061.7034119916875,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2255.3006536938074,8490.943307583651,171.8260045160149,812.647655908979,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2909.967288820634,8919.166576884983,209.9122940821242,839.7859780150361,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2704.441023749032,8524.885883347866,312.35358742768403,609.0488466750909,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",2745.0362407132625,8729.171645591998,124.71517015463718,458.2452329645096,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3081.5572787864744,8561.664857869857,261.25293337227833,486.8572892626188,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2958.5799479566735,8397.559543608922,279.71884703979566,1003.4603119358795,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2808.719546519614,8396.665220926545,187.91546763328128,935.0358360461541,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.', 'pH.Pre.chlorination')",3040.163147645012,8222.806750212836,407.8450367299093,652.824718946733,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3110.4178310028806,8618.22273972079,245.11314842995424,673.5305074003815,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2721.3758308721854,8102.38222369143,390.2535640963999,663.2606739905477,4
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'TSS.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",3007.925821456246,8616.985479264356,558.614013682767,780.8627036487133,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.')",2244.5470032744424,8529.40870700515,293.79540158038355,587.4593506831137,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.')",3062.8455592685596,9331.925875367127,444.10991623625995,712.72879438497,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.')",2788.998044397149,8910.829329841843,611.652992520899,1443.498268733111,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'COD.Pre.chlorination..ppm.')",2911.1647638970553,9236.849724191747,412.54314956348856,1047.9506118043496,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'TSS.Pre.chlorination..ppm.')",3059.918469672197,8936.854375004343,201.75424793983973,553.7804506233502,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'Fecal.Coliform.Influent..MPN.100mL.', 'pH.Pre.chlorination')",3106.7488466080586,9138.220596571895,146.6174240025744,1191.945637711994,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'BOD.Pre.chlorination..ppm.')",2253.083533088743,9023.400748156226,309.186765314869,582.1658402771925,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Influent..ppm.')",2120.7153850709706,8705.662608741553,163.6849791391942,589.4575760236368,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",2155.0589864467506,8683.835687320065,326.0391804180772,1086.3335934843822,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'TSS.Pre.chlorination..ppm.')",2534.69665026984,8168.935480465024,259.89127211584275,1000.1603360868261,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Influent..ppm.', 'pH.Pre.chlorination')",2288.1494799559687,8829.720360841573,171.03956364709558,1014.2991693932695,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Influent..ppm.')",2971.5872666598666,9025.361984652753,227.47015914099123,1185.96181503869,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'COD.Pre.chlorination..ppm.')",2994.542736657977,8938.813932759673,559.6739286602862,739.9109045377822,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'TSS.Pre.chlorination..ppm.')",3359.292469773962,8789.982946738211,135.8671247146479,844.6326435177097,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'BOD.Pre.chlorination..ppm.', 'pH.Pre.chlorination')",2900.523768269607,9417.294551490062,462.68834849051956,609.407219810752,4
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.', 'COD.Influent..ppm.', 'COD.Pre.chlorination..ppm.')",3099.3551447729665,8957.164284306942,333.2863599092623,1599.5586358670955,4
