Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)')",828.0901413504471,6117.033501121298,35.681169421222215,1721.5972202567298,2
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)')",1470.3700771889262,6002.909059355715,509.7016293918642,953.5418655149119,2
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)')",321.209463960598,431.61165707941234,7.643725193056179,95.05784425708522,2
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)')",1798.4222869266919,5467.332070904046,485.72060185449146,640.8037861960521,2
"('Chlorine dosage (L/d)', 'BOD Influent (ppm)')",1976.640280609717,4988.202201132293,474.2374638466871,1487.205180077077,2
"('Chlorine dosage (L/d)', 'BOD Pre-chlorination\n(ppm)')",1934.095148506873,5173.541355073496,559.0249721737065,480.5078496149494,2
"('Chlorine dosage (L/d)', 'COD Influent (ppm)')",841.1724084726286,4911.610301039302,45.15622600815947,2252.5206312556074,2
"('Chlorine dosage (L/d)', 'COD Pre-chlorination\n(ppm)')",852.5263674608389,5860.933035511353,49.83574952988966,1354.3009826060468,2
"('Chlorine dosage (L/d)', 'TSS Pre-chlorination (ppm)')",719.8974761783697,4424.318464297024,103.042907892337,2087.840061143458,2
"('Chlorine dosage (L/d)', 'pH Pre-chlorination')",740.2312151853217,3646.55830230214,111.82037727175492,2265.4099899142366,2
"('Chlorine dosage (L/d)', 'Residual chlorine\n(ppm)')",2064.518914151332,4787.070894406186,592.0488901019849,1036.0491070519229,2
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Influent (MPN/100mL)')",719.6510123700162,6111.0503032678,100.87703757851057,1723.5306580122733,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Effluent (MPN/100mL)')",321.2068622557765,463.6437907862143,7.645700151566002,155.3104810981189,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Influent (MPN/100mL)')",777.1655809518659,6445.6205312474085,92.62742680477105,1844.2451547863693,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Influent (ppm)')",812.6632819653241,6536.404891998803,28.678291933083074,1614.3765716095731,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Pre-chlorination\n(ppm)')",815.3347317470908,6138.068532178869,29.0378127552484,1713.0623671448582,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Influent (ppm)')",766.9945455454199,7239.1348620994,90.85581642092224,1945.099266918089,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Pre-chlorination\n(ppm)')",848.6107216621797,6542.742041831912,51.85232268370731,1309.5825736879533,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'TSS Pre-chlorination (ppm)')",726.6084787761266,3815.1318805037395,104.55986857796924,2591.427142471788,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'pH Pre-chlorination')",766.9088813447004,5170.145399226853,85.20701693138727,2395.5553254763076,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Residual chlorine\n(ppm)')",758.9910218147577,4752.892938575174,124.67732746973743,1186.4464102098511,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Total Coliform Effluent (MPN/100mL)')",321.2293374668989,428.79848395843766,7.617848896040689,98.36997719595131,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Fecal Coliform Influent (MPN/100mL)')",824.3524432594731,5759.190622634354,82.93471284649554,666.2333812176341,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'BOD Influent (ppm)')",712.2431156344143,6095.606952807591,86.74329505849032,1152.7965601833034,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'BOD Pre-chlorination\n(ppm)')",697.1778303221054,6242.879662401572,90.17763437924935,1254.061029132788,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'COD Influent (ppm)')",758.121237578183,6508.610112173296,86.79724302714214,1276.7280928905977,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'COD Pre-chlorination\n(ppm)')",731.2929467833211,5998.005770249552,116.18313710135298,989.0100502170143,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'TSS Pre-chlorination (ppm)')",712.2178874751414,4420.575296282978,96.08472956226095,2096.0389368937253,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'pH Pre-chlorination')",611.9718661868577,4062.6681467712706,81.36644977121567,2427.0984904853267,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Residual chlorine\n(ppm)')",746.0311749998576,5168.441317108695,111.11871532896805,928.1145783516473,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'Fecal Coliform Influent (MPN/100mL)')",321.19845338223365,432.4566090661295,7.6419922429512,94.80750201600455,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'BOD Influent (ppm)')",321.1978576923731,431.49853447201247,7.643162973899437,95.18588437134528,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'BOD Pre-chlorination\n(ppm)')",321.23364268523727,431.31796612798234,7.614625331068178,95.2329117540287,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'COD Influent (ppm)')",321.2036940432363,432.189379268253,7.652030209074121,96.08652800971545,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'COD Pre-chlorination\n(ppm)')",321.2068901647725,431.6314266016845,7.645619635744198,95.07623015794464,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'TSS Pre-chlorination (ppm)')",321.2063643489979,431.6440897298726,7.645451464910854,95.04382975730189,3
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)', 'pH Pre-chlorination')",321.2051552158046,431.2978032552692,7.62097293924293,95.34013189377453,3
