Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.')",0.8689694109273205,1.8742397374602213,0.0530084851577163,0.17610238333319855,2
"('Chlorine.dosage..L.d.', 'Total.Coliform.Influent..MPN.100mL.')",0.9531633963879316,1.9108062293681747,0.03978998100348651,0.14728719148999742,2
"('Chlorine.dosage..L.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.9663072034099335,2.111153599944645,0.030006503774687807,0.20071316035446415,2
"('Chlorine.dosage..L.d.', 'BOD.Influent..ppm.')",0.8563960625313441,1.9127807983650869,0.01637000036461369,0.13494875932780112,2
"('Chlorine.dosage..L.d.', 'BOD.Pre.chlorination..ppm.')",1.00663136476811,2.0250274016956107,0.04701081688496928,0.09814831092201379,2
"('Chlorine.dosage..L.d.', 'COD.Influent..ppm.')",0.966692544218559,2.0218597603904436,0.030159671137327076,0.08511927951442376,2
"('Chlorine.dosage..L.d.', 'COD.Pre.chlorination..ppm.')",1.070076966880272,2.1178155306522166,0.10189575813764111,0.11716238386802354,2
"('Chlorine.dosage..L.d.', 'TSS.Pre.chlorination..ppm.')",1.0822786187855253,2.003069950952372,0.054846496309695146,0.10925182256530457,2
"('Chlorine.dosage..L.d.', 'pH.Pre.chlorination')",0.9694584024890549,1.939673971459682,0.0461323822357117,0.19511784042068883,2
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Total.Coliform.Influent..MPN.100mL.')",0.7358287059405667,1.8390096859086882,0.04276214140799739,0.08504043470834904,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'Fecal.Coliform.Influent..MPN.100mL.')",0.7134109534637062,1.8872536135050164,0.0716288997955114,0.12138048801375155,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Influent..ppm.')",0.6135588219810281,1.8909108710195237,0.06373969225070668,0.06117166034061714,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'BOD.Pre.chlorination..ppm.')",0.7527830757687746,1.8900470903438258,0.05427985303768287,0.19710576020881945,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Influent..ppm.')",0.7090367190518194,1.8534727274565377,0.055840144348348004,0.1061254776140294,3
"('Chlorine.dosage..L.d.', 'Flow.Rate.Influent..m3.d.', 'COD.Pre.chlorination..ppm.')",0.752214974399075,1.9090020895678284,0.05460462517075975,0.0872120094997427,3
