Combination,Train RMSE,Validation RMSE,Train RMSE Std. Dev., Validation RMSE Std. Dev,count
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)')",0.7005850172554842,1.971195681046532,0.060725494201807284,0.16118920047604204,2
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)')",1.0503681094249298,1.9469040151711396,0.02575329967987901,0.18132875960270162,2
"('Chlorine dosage (L/d)', 'Total Coliform Effluent (MPN/100mL)')",1.0315248265536825,1.5201163939515026,0.03850440410708119,0.1847218349944241,2
"('Chlorine dosage (L/d)', 'Fecal Coliform Influent (MPN/100mL)')",1.2144614471078996,1.8697025086689003,0.02226740093505829,0.1247220086654637,2
"('Chlorine dosage (L/d)', 'Fecal Coliform Effluent (MPN/100mL)')",1.320458134618528,1.827763677065322,0.049940853502992905,0.1687785095249066,2
"('Chlorine dosage (L/d)', 'BOD Influent (ppm)')",0.933241904637716,1.877213817020086,0.009050866892201666,0.1351835004313666,2
"('Chlorine dosage (L/d)', 'BOD Pre-chlorination\n(ppm)')",1.1494842449141491,2.0098713877156653,0.028044122175516255,0.13664523987938687,2
"('Chlorine dosage (L/d)', 'COD Influent (ppm)')",0.8104392686492791,2.0184610759212025,0.029409291672352136,0.12064275935678287,2
"('Chlorine dosage (L/d)', 'COD Pre-chlorination\n(ppm)')",0.9079862085592827,2.051486102664093,0.05220691909751898,0.15761645460628476,2
"('Chlorine dosage (L/d)', 'TSS Pre-chlorination (ppm)')",0.9052592469214419,2.0293410014720243,0.031169726521532052,0.1545160603439531,2
"('Chlorine dosage (L/d)', 'pH Pre-chlorination')",0.8235297959003332,2.0499711869035555,0.06368133825131866,0.17153706103075397,2
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Influent (MPN/100mL)')",0.593502007177648,2.0467514631618338,0.03535423545536346,0.08191943584487399,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Total Coliform Effluent (MPN/100mL)')",0.5820336196296052,1.770584613890057,0.04511257018062817,0.23184149980236268,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Influent (MPN/100mL)')",0.6750779784622949,1.936511611487558,0.02537712563683636,0.08338554072669178,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'Fecal Coliform Effluent (MPN/100mL)')",0.6866542927159831,2.001751345018917,0.06140078306873821,0.19270056938809701,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Influent (ppm)')",0.5602933281423316,2.0081823343063174,0.05975973541136702,0.18014356139666296,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'BOD Pre-chlorination\n(ppm)')",0.5935895718881377,1.8776169417256134,0.03724705751159368,0.15560489492283094,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Influent (ppm)')",0.5167887336132564,1.991750088054145,0.039036174125257055,0.06723079561728644,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'COD Pre-chlorination\n(ppm)')",0.5497540857192403,1.9481590008867848,0.04060587444263537,0.03353468918144013,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'TSS Pre-chlorination (ppm)')",0.5364928591098733,1.9386536600308084,0.07288248394980996,0.15528899385986736,3
"('Chlorine dosage (L/d)', 'Flow Rate Influent (m3/d)', 'pH Pre-chlorination')",0.5818825643725594,2.0078897022026285,0.06421137892407895,0.20477316802861284,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Total Coliform Effluent (MPN/100mL)')",0.7684155848228353,1.6857030442443974,0.037870609342097857,0.20527430816411296,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Fecal Coliform Influent (MPN/100mL)')",1.046711341928528,1.9551378092315894,0.024223834319141792,0.11257510608861235,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'Fecal Coliform Effluent (MPN/100mL)')",0.9756259730940908,1.8556151292821632,0.029730956209544638,0.2181058566496109,3
"('Chlorine dosage (L/d)', 'Total Coliform Influent (MPN/100mL)', 'BOD Influent (ppm)')",0.8074218633843167,1.9740400249966032,0.04092257891854292,0.17059522056925222,3
