y_test_MBBR,y_test_MBBR_dropped,y_pred_final_MBBR,y_pred_final_MBBR_dropped,y_pred_oob_imputed_MBBR,y_pred_oob_MBBR,y_pred_naive_MBBR,y_pred_naive_orig_MBBR
0.6407999999999999,1.339,1.9289488,1.783462,0.7525475,2.346531,2.082140517241379,2.0811829268292685
5.118,5.0,2.7140133,-0.9136944,3.7504244,3.5121486,2.082140517241379,2.0811829268292685
4.793200000000001,1.55,2.6945744,3.328228,3.1497772,2.6255727,2.082140517241379,2.0811829268292685
1.339,2.97,0.3817476,4.902701,0.2322274,3.9859428,2.082140517241379,2.0811829268292685
5.0,2.385,4.218588,1.6626992,2.3036919,1.2789794,2.082140517241379,2.0811829268292685
0.7686,1.015,1.2756816,1.783462,1.2950275,0.90754145,2.082140517241379,2.0811829268292685
1.55,0.256,1.2899281,1.570647,1.159345,1.0067412,2.082140517241379,2.0811829268292685
0.7258,0.393,1.195922,0.3167593,0.8338688,0.40009636,2.082140517241379,2.0811829268292685
0.0708,0.303,2.5184639,1.783462,1.8935899,2.7813027,2.082140517241379,2.0811829268292685
0.4878,2.37,1.4822931,4.9676833,0.5801277,3.5376966,2.082140517241379,2.0811829268292685
2.1916,2.04,2.7620673,5.4917865,2.8750951,3.6346588,2.082140517241379,2.0811829268292685
2.97,2.47,4.251348,0.06527434,4.164598,1.5877451,2.082140517241379,2.0811829268292685
2.385,4.764,3.8136492,2.9048781,3.9790769,0.5337428,2.082140517241379,2.0811829268292685
4.6259999999999994,0.01,3.8758888,-0.39439577,3.0637658,0.38769126,2.082140517241379,2.0811829268292685
1.015,5.0,0.6473171,1.570647,0.9287271,1.7167903,2.082140517241379,2.0811829268292685
3.6494,3.554,2.9912004,1.783462,3.9007125,0.4870655,2.082140517241379,2.0811829268292685
3.2166000000000006,0.087,3.6545115,0.33682275,3.172613,0.1342946,2.082140517241379,2.0811829268292685
5.08,5.0,4.205235,3.0479445,4.3550887,4.1085706,2.082140517241379,2.0811829268292685
0.256,0.497,1.6797848,0.35463753,3.0877547,1.1467979,2.082140517241379,2.0811829268292685
0.393,1.874,0.65659535,1.783462,2.271599,2.5581355,2.082140517241379,2.0811829268292685
4.168,2.171,3.5565324,1.6626992,4.570012,0.7412648,2.082140517241379,2.0811829268292685
4.6198,0.906,2.7273962,1.783462,3.0703552,0.9320118,2.082140517241379,2.0811829268292685
1.7129999999999999,5.0,2.4250638,5.4917865,3.3875263,3.783914,2.082140517241379,2.0811829268292685
2.3692,0.21,0.68693995,0.13176137,0.571091,0.42537147,2.082140517241379,2.0811829268292685
1.3674,2.393,1.9550618,1.783462,1.0640366,2.1986148,2.082140517241379,2.0811829268292685
0.303,2.23,1.0578274,5.4917865,0.1406178,5.1284776,2.082140517241379,2.0811829268292685
2.37,0.168,2.458531,1.783462,0.8999829,0.8842171,2.082140517241379,2.0811829268292685
0.2852,0.176,0.6032128,0.49181396,1.1799552,0.2718578,2.082140517241379,2.0811829268292685
1.3364,0.285,1.432173,5.391018,3.1114683,2.7363343,2.082140517241379,2.0811829268292685
2.04,2.16,3.1062021,3.783984,3.7108815,2.7088041,2.082140517241379,2.0811829268292685
2.47,0.427,3.6770372,4.792014,4.7556696,4.6346684,2.082140517241379,2.0811829268292685
0.30579999999999996,0.951,2.2651947,1.783462,0.71278423,1.2023072,2.082140517241379,2.0811829268292685
4.764,0.269,4.330711,2.9864707,5.0488286,0.9805463,2.082140517241379,2.0811829268292685
0.01,2.74,3.6412058,0.69105077,3.1838634,1.9057388,2.082140517241379,2.0811829268292685
5.0,2.379,2.2992945,1.570647,1.6049259,0.8371439,2.082140517241379,2.0811829268292685
